               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11032,            0.090702,                   0,             0.23889,             0.30526,             0.12657,            0.025919,            0.092807,            0.098468,                   0,             0.00062,             0.00062,             0.09442
                   1,            0.087113,            0.090027,                   0,              0.3679,              0.4225,             0.36762,             0.11669,            0.070681,            0.084661,                   0,           0.0012489,           0.0012489,            0.088749
                   2,            0.070789,            0.080852,                   0,             0.50406,             0.52967,              0.5339,             0.19805,            0.060431,            0.083676,                   0,           0.0018733,           0.0018733,            0.083073
                   3,            0.069026,            0.075266,                   0,             0.56573,             0.47121,             0.51579,             0.16192,            0.070085,            0.079489,                   0,             0.00249,             0.00249,             0.07739
                   4,            0.068877,             0.06918,                   0,             0.70385,              0.4783,              0.6158,             0.26747,            0.065405,            0.077292,                   0,           0.0030956,           0.0030956,            0.071696
                   5,            0.066419,            0.067283,                   0,              0.6172,             0.55713,             0.64766,              0.2958,            0.057448,            0.080417,                   0,            0.003687,            0.003687,            0.065987
                   6,            0.065279,             0.06706,                   0,             0.68015,             0.55004,             0.65316,             0.22272,            0.061164,            0.072303,                   0,            0.004261,            0.004261,            0.060261
                   7,            0.060545,            0.065568,                   0,             0.74144,              0.4648,             0.61698,             0.25249,            0.068313,            0.070745,                   0,           0.0048146,           0.0048146,            0.054515
                   8,             0.06144,            0.065977,                   0,             0.78969,             0.45704,             0.66336,             0.28755,            0.059676,            0.074854,                   0,            0.005345,            0.005345,            0.048745
                   9,            0.058035,            0.060967,                   0,             0.81273,             0.49601,             0.68537,             0.31094,            0.053135,            0.079232,                   0,           0.0058494,           0.0058494,            0.042949
                  10,            0.059556,            0.066327,                   0,             0.56749,             0.63453,             0.66451,             0.21419,            0.059941,            0.071369,                   0,           0.0063253,           0.0063253,            0.037125
                  11,            0.054384,            0.061903,                   0,             0.67368,              0.6457,             0.74032,             0.36841,             0.05197,            0.081331,                   0,           0.0067703,           0.0067703,             0.03127
